792,366,28,48,1,6,0,0
861,194,9,14,1,6,0,0
880,187,9,14,1,6,0,0
879,160,29,27,0,0,0,0
856,207,9,19,1,6,0,0
899,231,26,82,0,11,0,0
1199,560,18,27,0,0,0,0
1101,414,24,23,0,0,0,0
1041,347,37,32,0,0,0,0
1029,296,13,13,1,6,0,0
1016,274,13,17,1,6,0,0
873,194,7,12,1,6,0,0
853,226,10,12,1,6,0,0
872,207,6,7,1,4,0,0
897,208,11,7,1,4,0,0
803,244,17,7,1,4,0,1
820,247,24,31,0,0,0,0
861,386,9,23,0,0,0,0
868,373,9,9,1,10,0,0
739,464,7,13,1,10,0,1
705,567,6,18,1,10,0,1
659,671,6,20,1,3,0,1
606,833,11,26,1,3,0,1
593,912,9,30,1,3,0,1
591,912,11,17,1,2,0,0
604,830,13,16,1,2,0,0
657,667,8,14,1,2,0,0
705,563,6,12,1,2,0,0
739,460,7,11,1,2,0,1
917,794,15,22,1,2,0,1
916,788,14,45,1,10,0,1
928,146,29,22,0,0,0,0
