6,41,30,41,1,4,0,0
0,123,17,52,1,4,1,0
643,596,22,52,1,4,0,0
529,626,26,58,1,4,0,0
484,676,47,49,1,4,0,0
431,613,27,52,1,4,0,0
459,389,24,51,1,4,0,0
786,333,24,54,1,4,0,1
795,204,35,50,1,4,0,1
472,5,39,43,1,4,0,1
796,67,42,33,1,4,1,1
667,0,20,24,1,4,1,0
476,106,23,45,1,4,0,0
455,270,46,41,1,4,0,0
782,505,28,63,1,5,0,0
454,546,32,56,1,5,0,0
552,338,24,40,1,5,0,0
461,314,31,44,1,5,0,0
468,164,34,43,1,5,0,0
794,31,41,35,1,5,0,0
793,261,40,44,1,5,0,0
849,72,8,17,1,10,0,0
882,85,9,20,1,10,0,0
802,117,37,28,1,4,0,2
879,189,9,16,1,10,0,0
880,235,6,19,1,10,0,0
865,282,18,9,1,10,0,0
873,323,6,17,1,10,0,0
881,329,6,18,1,10,0,0
759,421,8,20,1,10,0,1
830,725,24,40,1,4,1,0
404,629,15,15,1,10,0,1
388,674,19,10,1,10,0,0
562,510,9,20,1,10,0,1
591,199,6,15,1,10,0,1
578,140,7,16,1,10,0,1
585,58,6,16,1,10,0,1
585,58,5,13,1,2,0,1
578,139,8,11,1,2,0,1
590,199,7,9,1,2,0,1
761,420,6,4,1,2,0,1
760,426,8,12,1,2,0,1
562,516,9,12,1,2,0,1
746,611,10,9,1,1,0,0
578,738,7,20,1,10,0,1
580,744,5,14,1,2,0,1
845,563,8,10,1,1,0,0
863,561,5,9,1,1,0,0
847,575,6,9,1,1,0,0
772,411,8,7,1,1,0,0
783,412,4,4,1,1,0,0
513,113,6,11,1,1,0,0
508,114,4,6,1,1,0,0
434,285,9,10,1,1,0,0
